concept,xpath,frequency
"contact_address_administrativeArea","/eml/dataset/contact/address/administrativeArea",9797
"creator_address_administrativeArea","/eml/dataset/creator/address/administrativeArea",9749
"project_personnel_address_administrativeArea","/eml/dataset/project/personnel/address/administrativeArea",6867
"associatedParty_address_administrativeArea","/eml/dataset/associatedParty/address/administrativeArea",4319
"metadataProvider_address_administrativeArea","/eml/dataset/metadataProvider/address/administrativeArea",3009
"publisher_address_administrativeArea","/eml/dataset/publisher/address/administrativeArea",2942
"project_relatedProject_personnel_address_administrativeArea","/eml/dataset/project/relatedProject/personnel/address/administrativeArea",1607
"dataTable_methods_methodStep_software_creator_address_administrativeArea","/eml/dataset/dataTable/methods/methodStep/software/creator/address/administrativeArea",880
"dataTable_methods_methodStep_software_associatedParty_address_administrativeArea","/eml/dataset/dataTable/methods/methodStep/software/associatedParty/address/administrativeArea",880
"methods_methodStep_dataSource_creator_address_administrativeArea","/eml/dataset/methods/methodStep/dataSource/creator/address/administrativeArea",331
"methods_methodStep_dataSource_contact_address_administrativeArea","/eml/dataset/methods/methodStep/dataSource/contact/address/administrativeArea",250
"project_designDescription_citation_book_publisher_address_administrativeArea","/eml/dataset/project/designDescription/citation/book/publisher/address/administrativeArea",11
"project_designDescription_citation_creator_address_administrativeArea","/eml/dataset/project/designDescription/citation/creator/address/administrativeArea",11
"methods_methodStep_citation_presentation_conferenceLocation_administrativeArea","/eml/dataset/methods/methodStep/citation/presentation/conferenceLocation/administrativeArea",6
"methods_methodStep_protocol_creator_address_administrativeArea","/eml/dataset/methods/methodStep/protocol/creator/address/administrativeArea",4
"spatialVector_methods_methodStep_dataSource_creator_address_administrativeArea","/eml/dataset/spatialVector/methods/methodStep/dataSource/creator/address/administrativeArea",3
"spatialVector_methods_methodStep_dataSource_contact_address_administrativeArea","/eml/dataset/spatialVector/methods/methodStep/dataSource/contact/address/administrativeArea",3
"methods_sampling_citation_creator_address_administrativeArea","/eml/dataset/methods/sampling/citation/creator/address/administrativeArea",2
"methods_methodStep_citation_creator_address_administrativeArea","/eml/dataset/methods/methodStep/citation/creator/address/administrativeArea",2
"methods_methodStep_software_creator_address_administrativeArea","/eml/dataset/methods/methodStep/software/creator/address/administrativeArea",1
"methods_methodStep_citation_thesis_institution_address_administrativeArea","/eml/dataset/methods/methodStep/citation/thesis/institution/address/administrativeArea",1
